Date,Close
01-01-2015,27507.54
02-01-2015,27887.9
03-01-2015,27887.9
04-01-2015,27887.9
05-01-2015,27842.32
06-01-2015,26987.46
07-01-2015,26908.82
08-01-2015,27274.71
09-01-2015,27458.38
10-01-2015,27458.38
11-01-2015,27458.38
12-01-2015,27585.27
13-01-2015,27425.73
14-01-2015,27346.82
15-01-2015,28075.55
16-01-2015,28121.89
17-01-2015,28121.89
18-01-2015,28121.89
19-01-2015,28262.01
20-01-2015,28784.67
21-01-2015,28888.86
22-01-2015,29006.02
23-01-2015,29278.84
24-01-2015,29278.84
25-01-2015,29278.84
26-01-2015,29278.84
27-01-2015,29571.04
28-01-2015,29559.18
29-01-2015,29681.77
30-01-2015,29182.95
31-01-2015,29182.95
01-02-2015,29182.95
02-02-2015,29122.27
03-02-2015,29000.14
04-02-2015,28883.11
05-02-2015,28850.97
06-02-2015,28717.91
07-02-2015,28717.91
08-02-2015,28717.91
09-02-2015,28227.39
10-02-2015,28355.62
11-02-2015,28533.97
12-02-2015,28805.1
13-02-2015,29094.93
14-02-2015,29094.93
15-02-2015,29094.93
16-02-2015,29135.88
17-02-2015,29135.88
18-02-2015,29320.26
19-02-2015,29462.27
20-02-2015,29231.41
21-02-2015,29231.41
22-02-2015,29231.41
23-02-2015,28975.11
24-02-2015,29004.66
25-02-2015,29007.99
26-02-2015,28746.65
27-02-2015,29220.12
28-02-2015,29361.5
01-03-2015,29361.5
02-03-2015,29459.14
03-03-2015,29593.73
04-03-2015,29380.73
05-03-2015,29448.95
06-03-2015,29448.95
07-03-2015,29448.95
08-03-2015,29448.95
09-03-2015,28844.78
10-03-2015,28709.87
11-03-2015,28659.17
12-03-2015,28930.41
13-03-2015,28503.3
14-03-2015,28503.3
15-03-2015,28503.3
16-03-2015,28437.71
17-03-2015,28736.38
18-03-2015,28622.12
19-03-2015,28469.67
20-03-2015,28261.08
21-03-2015,28261.08
22-03-2015,28261.08
23-03-2015,28192.02
24-03-2015,28161.72
25-03-2015,28111.83
26-03-2015,27457.58
27-03-2015,27458.64
28-03-2015,27458.64
29-03-2015,27458.64
30-03-2015,27975.86
31-03-2015,27957.49
01-04-2015,28260.14
02-04-2015,28260.14
03-04-2015,28260.14
04-04-2015,28260.14
05-04-2015,28260.14
06-04-2015,28504.46
07-04-2015,28516.59
